등록외국인 국적별·지역별 현황(2021. 3. 31. 현재)                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도,시군구,성별,총합계,한국계중국인,베트남,중국,우즈베키스탄,필리핀,캄보디아,네팔,인도네시아,타이,미국,몽골,미얀마,일본,스리랑카,타이완,카자흐스탄,방글라데시,러시아(연방),파키스탄,인도,영국,캐나다,키르기즈,프랑스,말레이시아,우크라이나,이집트,나이지리아,남아프리카공화국,티모르민주공화국,독일,홍콩,오스트레일리아,시리아,한국계러시아인,터키,모로코,가나,이란,예멘공화국,라오스,에티오피아,카메룬,이탈리아,브라질,사우디아라비아,뉴질랜드,스페인,아일랜드,싱가포르,멕시코,라이베리아,타지키스탄,우간다,리비아,알제리,네덜란드,콜롬비아,폴란드,케냐,페루,요르단,스웨덴,벨기에,아프가니스탄,세네갈,이라크,투르크메니스탄,튀니지,기니,스위스,수단,르완다,탄자니아,콩고민주공화국,그리스,에콰도르,벨로루시,말리,아랍에미리트연합,노르웨이,루마니아,오스트리아,덴마크,아제르바이잔,핀란드,헝가리,코트디부아르,칠레,이스라엘,베네수엘라,포르투갈,앙골라,감비아,불가리아,체코,아르헨티나,부룬디,무국적,잠비아,짐바브웨,마카오,리투아니아,파라과이,시에라리온,가봉,파나마,과테말라,슬로바크,크로아티아,조지아,영국외지민,아르메니아,세르비아,도미니카공화국,볼리비아,코스타리카,모잠비크,엘살바도르,팔레스타인,라트비아,피지,부르키나파소,몰도바,토고,브루나이,온두라스,미등록국가,자메이카,쿠웨이트,오만,에스토니아,슬로베니아,국제연합,아이티,레바논,니카라과,쿠바,알바니아,남수단공화국,우루과이,말라위,마다가스카르,콩고,부탄,카타르,기니비사우,키프로스,트리니다드토바고,소말리아,보츠와나,베냉,룩셈부르크,모리셔스,에리트레아,차드,에스와티니,세인트크리스토퍼네비스,키리바시,바레인,몰타,모리타니,마케도니아,아이슬란드,몬테네그로,니제르,적도기니,중앙아프리카공화국,보스니아-헤르체고비나,바누아투,바하마,레소토,도미니카연방,가이아나,파푸아뉴기니,코소보,솔로몬군도,세이셸,벨리즈,몰디브,팔라우,통가,지부티,나우루,홍콩거주난민,투발루,코모로,수리남,세인트루시아,바베이도스,리히텐슈타인,나미비아
강원도,영월군,총계,238,29,72,25,4,15,12,6,,19,9,4,,18,,1,1,,3,,,,2,2,,1,1,,,3,,,,2,1,,2,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,영월군,남성,91,14,17,6,2,2,3,3,,13,6,4,,1,,1,1,,2,,,,2,2,,,,,,2,,,,2,1,,2,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,영월군,여성,147,15,55,19,2,13,9,3,,6,3,,,17,,,,,1,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,원주시,총계,"3,262",308,559,579,195,158,145,153,80,147,98,114,34,88,47,144,48,30,74,18,13,20,19,22,3,13,2,5,5,27,,5,2,5,19,1,11,,5,3,,11,5,1,,1,,1,2,2,,1,,,3,,,2,1,,,2,1,,2,1,2,1,1,,1,1,,2,6,,,1,1,,,1,,,,,,1,,1,,1,,,,,1,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,원주시,남성,"1,666",146,191,234,131,67,116,140,70,55,47,56,28,9,47,70,28,28,38,17,10,13,13,13,2,7,1,5,4,9,,1,,4,16,,11,,2,3,,6,4,,,,,,2,2,,1,,,1,,,1,,,,,1,,1,1,2,1,1,,1,1,,,4,,,,,,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,원주시,여성,"1,596",162,368,345,64,91,29,13,10,92,51,58,6,79,,74,20,2,36,1,3,7,6,9,1,6,1,,1,18,,4,2,1,3,1,,,3,,,5,1,1,,1,,1,,,,,,,2,,,1,1,,,2,,,1,,,,,,,,,2,2,,,1,1,,,,,,,,,,,1,,1,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,인제군,총계,260,18,64,15,1,13,27,26,,41,9,2,11,13,,4,1,2,1,1,,1,2,2,,,,,,1,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,인제군,남성,114,6,21,3,,4,17,25,,12,,1,11,1,,3,,2,1,1,,,2,,,,,,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,인제군,여성,146,12,43,12,1,9,10,1,,29,9,1,,12,,1,1,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,정선군,총계,266,28,84,25,7,36,10,8,1,18,8,3,,8,18,4,1,,2,,,,1,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
