국적(지역) 및 체류자격별 장단기체류외국인(2021. 4. 30.현재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,단 기 체 류 자 격,,,,,  장 기 체 류 자 격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대륙,국적,성별,총합계,B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),T2(조건부입국허가),기타,,,,,
아시아주,미얀마,남성,"23,712",,159,,616,1,,237,33,138,,24,,4,1,59,2,,5,,,1,28,,"20,842",810,12,179,14,,8,50,378,,,,,111,,,,,
아시아주,미얀마,여성,"1,442",,1,,71,,,497,,203,,49,,,,78,1,1,10,,,,18,,2,,26,166,25,,17,186,46,,,,,45,,,,,
아시아주,스리랑카,총계,"20,613",,213,,589,12,,242,30,128,,35,,15,3,33,1,,15,1,,,297,,"16,908",21,66,83,162,,44,326,446,,,,,943,,,,,
아시아주,스리랑카,남성,"19,820",,211,,513,12,,128,23,69,,34,,13,3,17,1,,14,1,,,288,,"16,753",21,27,62,61,,30,268,378,,,,,893,,,,,
아시아주,스리랑카,여성,793,,2,,76,,,114,7,59,,1,,2,,16,,,1,,,,9,,155,,39,21,101,,14,58,68,,,,,50,,,,,
아시아주,타이완,총계,"19,111",5,637,1,80,61,2,568,,296,3,13,11,62,18,83,12,5,14,4,30,19,177,,,,288,"3,118",94,73,"11,987","1,239",,115,,2,,94,,,,,
아시아주,타이완,남성,"9,314",2,311,,49,56,1,73,,30,2,1,5,37,18,10,6,,12,3,30,6,40,,,,147,"1,725",18,22,"6,551",110,,7,,2,,40,,,,,
아시아주,타이완,여성,"9,797",3,326,1,31,5,1,495,,266,1,12,6,25,,73,6,5,2,1,,13,137,,,,141,"1,393",76,51,"5,436","1,129",,108,,,,54,,,,,
아시아주,방글라데시,총계,"16,501","2,501",35,,295,2,,"1,261",158,53,,13,6,38,15,113,15,,112,,1,1,446,,"7,587",,216,616,556,,130,306,768,,,,,"1,257",,,,,
아시아주,방글라데시,남성,"15,205","2,474",34,,253,2,,"1,075",157,47,,12,6,36,15,96,14,,97,,1,1,442,,"7,553",,68,436,143,,108,215,727,,,,,"1,193",,,,,
아시아주,방글라데시,여성,"1,296",27,1,,42,,,186,1,6,,1,,2,,17,1,,15,,,,4,,34,,148,180,413,,22,91,41,,,,,64,,,,,
아시아주,파키스탄,총계,"12,903","1,464",14,4,508,33,,"1,502",59,52,1,14,4,319,95,212,53,1,188,,,,252,,"2,408",,120,328,"1,091",,252,839,"2,200",,,,,890,,,,,
아시아주,파키스탄,남성,"11,236","1,438",14,4,464,33,,"1,278",59,37,1,10,4,315,95,189,48,1,167,,,,239,,"2,408",,65,210,358,,213,688,"2,105",,,,,793,,,,,
아시아주,파키스탄,여성,"1,667",26,,,44,,,224,,15,,4,,4,,23,5,,21,,,,13,,,,55,118,733,,39,151,95,,,,,97,,,,,
아시아주,인도,총계,"11,100",1,70,2,"1,123",63,2,"1,272",5,155,,54,122,187,111,100,301,,"1,186",12,3,9,891,,13,,67,376,"1,775",2,289,193,"2,391",,,,,325,,,,,
아시아주,인도,남성,"8,288",1,54,2,"1,058",63,2,848,5,96,,40,115,176,110,65,268,,"1,018",12,3,7,834,,13,,27,172,462,2,227,144,"2,226",,,,,238,,,,,
아시아주,인도,여성,"2,812",,16,,65,,,424,,59,,14,7,11,1,35,33,,168,,,2,57,,,,40,204,"1,313",,62,49,165,,,,,87,,,,,
아시아주,키르기즈,총계,"5,617",,4,,379,2,,245,,93,,,,37,13,37,,,,,,16,43,,769,1,781,90,137,"1,161",133,369,201,,982,,,124,,,,,
아시아주,키르기즈,남성,"3,210",,4,,296,,,99,,48,,,,37,12,11,,,,,,5,27,,735,1,362,35,55,608,18,28,164,,598,,,67,,,,,
아시아주,키르기즈,여성,"2,407",,,,83,2,,146,,45,,,,,1,26,,,,,,11,16,,34,,419,55,82,553,115,341,37,,384,,,57,,,,,
아시아주,말레이시아,총계,"5,143","1,640",2,,16,39,3,619,,132,,4,8,31,56,57,7,,22,8,10,3,138,,,,20,84,103,3,101,202,"1,725",,,,,110,,,,,
아시아주,말레이시아,남성,"3,193","1,244",2,,11,34,,202,,42,,2,7,23,52,9,3,,14,8,10,2,75,,,,6,31,34,,15,43,"1,267",,,,,57,,,,,
아시아주,말레이시아,여성,"1,950",396,,,5,5,3,417,,90,,2,1,8,4,48,4,,8,,,1,63,,,,14,53,69,3,86,159,458,,,,,53,,,,,
아시아주,홍콩,총계,"2,296",8,381,,36,1,,385,,226,,9,8,41,5,79,12,,2,,,8,107,,,,33,180,66,18,126,523,,19,,8,,15,,,,,
아시아주,홍콩,남성,665,3,215,,24,1,,61,,34,,4,3,22,4,11,11,,2,,,5,36,,,,7,61,35,9,38,65,,2,,8,,4,,,,,
아시아주,홍콩,여성,"1,631",5,166,,12,,,324,,192,,5,5,19,1,68,1,,,,,3,71,,,,26,119,31,9,88,458,,17,,,,11,,,,,
아시아주,티모르민주공화국,총계,"2,132",,,,,,,18,,3,,2,,,,2,,,1,,,,2,,"2,026",,1,,,,,,,,,,,77,,,,,
아시아주,티모르민주공화국,남성,"2,072",,,,,,,8,,2,,1,,,,,,,1,,,,1,,"1,992",,,,,,,,,,,,,67,,,,,
아시아주,티모르민주공화국,여성,60,,,,,,,10,,1,,1,,,,2,,,,,,,1,,34,,1,,,,,,,,,,,10,,,,,
아시아주,터키,총계,"1,958",419,3,,39,12,,275,,74,,2,8,17,17,24,12,7,16,,,5,67,,,,24,78,80,1,14,257,414,,,,,93,,,,,
아시아주,터키,남성,"1,290",381,2,,37,11,,78,,13,,2,6,17,15,13,10,5,10,,,,47,,,,12,35,22,,13,109,391,,,,,61,,,,,
아시아주,터키,여성,668,38,1,,2,1,,197,,61,,,2,,2,11,2,2,6,,,5,20,,,,12,43,58,1,1,148,23,,,,,32,,,,,
아시아주,이란,총계,"1,841",4,103,,586,,,288,,55,,,1,4,7,14,19,1,96,,,3,41,,28,,23,109,145,6,43,115,72,,,,,78,,,,,
아시아주,이란,남성,"1,297",3,101,,569,,,115,,13,,,1,4,7,5,12,1,70,,,1,32,,28,,12,64,38,1,36,80,57,,,,,47,,,,,
아시아주,이란,여성,544,1,2,,17,,,173,,42,,,,,,9,7,,26,,,2,9,,,,11,45,107,5,7,35,15,,,,,31,,,,,
아시아주,시리아,총계,"1,552",,10,,6,1,,9,,1,,,,52,7,1,2,,4,,,,,,,,6,24,173,,8,16,"1,215",,,,,17,,,,,
아시아주,시리아,남성,"1,080",,10,,5,1,,5,,1,,,,52,7,1,2,,3,,,,,,,,3,16,75,,5,13,872,,,,,9,,,,,
아시아주,시리아,여성,472,,,,1,,,4,,,,,,,,,,,1,,,,,,,,3,8,98,,3,3,343,,,,,8,,,,,
아시아주,라오스,총계,"1,528",,18,,451,6,,95,,24,,3,,,,5,,,2,,,15,4,,261,,62,8,8,1,36,492,4,,,,,33,,,,,
아시아주,라오스,남성,564,,8,,200,6,,43,,11,,1,,,,1,,,2,,,14,2,,242,,12,1,3,1,,1,,,,,,16,,,,,
아시아주,라오스,여성,964,,10,,251,,,52,,13,,2,,,,4,,,,,,1,2,,19,,50,7,5,,36,491,4,,,,,17,,,,,
아시아주,타지키스탄,총계,"1,131",,5,,459,,,90,,50,,,,12,10,18,,,1,,,,12,,,,95,22,52,162,2,8,20,,87,,,26,,,,,
아시아주,타지키스탄,남성,860,,5,,447,,,69,,36,,,,11,10,16,,,1,,,,12,,,,45,13,21,80,2,2,19,,57,,,14,,,,,
아시아주,타지키스탄,여성,271,,,,12,,,21,,14,,,,1,,2,,,,,,,,,,,50,9,31,82,,6,1,,30,,,12,,,,,
아시아주,예멘공화국,총계,"1,061",,7,,6,,,22,,8,,,,24,13,5,2,,3,,,,4,,,,8,51,116,,2,14,763,,,,,13,,,,,
아시아주,예멘공화국,남성,862,,6,,4,,,18,,5,,,,24,13,2,2,,3,,,,1,,,,2,38,47,,2,11,672,,,,,12,,,,,
아시아주,예멘공화국,여성,199,,1,,2,,,4,,3,,,,,,3,,,,,,,3,,,,6,13,69,,,3,91,,,,,1,,,,,
아시아주,싱가포르,총계,831,67,,,29,17,,66,,53,2,1,11,48,15,4,6,,5,1,,3,73,,,,7,36,59,111,31,137,,,,1,,48,,,,,
아시아주,싱가포르,남성,372,37,,,16,17,,18,,13,,,8,34,13,1,6,,3,1,,2,38,,,,2,12,17,54,7,51,,,,,,22,,,,,
아시아주,싱가포르,여성,459,30,,,13,,,48,,40,2,1,3,14,2,3,,,2,,,1,35,,,,5,24,42,57,24,86,,,,1,,26,,,,,
아시아주,사우디아라비아,총계,817,,16,,6,,,76,47,114,,,,51,1,4,,,1,,1,,12,,,,5,1,237,6,,4,7,,,,,228,,,,,
아시아주,사우디아라비아,남성,525,,10,,6,,,51,47,98,,,,51,1,3,,,1,,1,,9,,,,4,1,98,1,,3,3,,,,,137,,,,,
아시아주,사우디아라비아,여성,292,,6,,,,,25,,16,,,,,,1,,,,,,,3,,,,1,,139,5,,1,4,,,,,91,,,,,
아시아주,요르단,총계,464,,1,,81,1,,40,,6,,,,74,34,3,2,2,9,,,,3,,,,,13,128,,5,11,24,,,,,27,,,,,
아시아주,요르단,남성,324,,1,,74,1,,23,,2,,,,74,34,2,1,1,8,,,,2,,,,,7,38,,4,9,23,,,,,20,,,,,
아시아주,요르단,여성,140,,,,7,,,17,,4,,,,,,1,1,1,1,,,,1,,,,,6,90,,1,2,1,,,,,7,,,,,
아시아주,이라크,총계,463,,3,,122,,,33,,11,,,,29,15,,,1,1,,,1,4,,1,,5,17,74,,1,9,71,,,,,65,,,,,
